year,month,region,rainfall,runoff
2000,Dec.,Kagera,0.123,816.334
2000,Dec.,Lake Victoria,0.966,972.481
2000,Dec.,Simiyu,0.096,393.089
2000,Dec.,Victoria Nile,,744.105
2000,Nov.,Kagera,1.415,1041.783
2000,Nov.,Lake Victoria,9.887,2200.189
2000,Nov.,Simiyu,1.121,498.359
2000,Nov.,Victoria Nile,,1598.86
2000,Oct.,Kagera,1.646,1564.32
2000,Oct.,Lake Victoria,3.035,1447.993
2000,Oct.,Simiyu,1.21,635.375
2000,Oct.,Victoria Nile,,1175.014
2000,Sept.,Kagera,3.584,1808.545
2000,Sept.,Lake Victoria,4.637,1434.269
2000,Sept.,Simiyu,3.435,864.41
2000,Sept.,Victoria Nile,,1412.807
2001,April,Kagera,6.323,1671.967
2001,April,Lake Victoria,6.969,1989.319
2001,April,Simiyu,4.074,314.243
2001,April,Victoria Nile,,718.826
2001,Aug.,Kagera,0.088,27.646
2001,Aug.,Lake Victoria,0.525,237.401
2001,Aug.,Simiyu,0.092,13.283
2001,Aug.,Victoria Nile,,26.294
2001,Dec.,Kagera,4.383,18.428
2001,Dec.,Lake Victoria,7.966,241.274
2001,Dec.,Simiyu,4.617,15.0
2001,Dec.,Victoria Nile,,9.382
2001,Feb.,Kagera,0.252,118.053
2001,Feb.,Lake Victoria,0.185,306.293
2001,Feb.,Simiyu,0.27,59.51
2001,Feb.,Victoria Nile,,105.657
2001,Jan.,Kagera,6.532,245.636
2001,Jan.,Lake Victoria,5.157,397.92
2001,Jan.,Simiyu,11.382,118.059
2001,Jan.,Victoria Nile,,135.065
2001,July,Kagera,0.092,36.155
2001,July,Lake Victoria,2.088,403.724
2001,July,Simiyu,0.25,17.024
2001,July,Victoria Nile,,33.138
2001,June,Kagera,0.254,44.969
2001,June,Lake Victoria,2.879,412.93
2001,June,Simiyu,0.246,21.632
2001,June,Victoria Nile,,41.289
2001,March,Kagera,1.093,130.492
2001,March,Lake Victoria,1.094,292.853
2001,March,Simiyu,0.29,52.898
2001,March,Victoria Nile,,86.597
2001,May,Kagera,4.482,267.086
2001,May,Lake Victoria,6.494,1755.369
2001,May,Simiyu,2.814,32.997
2001,May,Victoria Nile,,332.277
2001,Nov.,Kagera,2.974,30.039
2001,Nov.,Lake Victoria,8.48,2391.339
2001,Nov.,Simiyu,6.435,288.793
2001,Nov.,Victoria Nile,,1025.033
2001,Oct.,Kagera,0.524,16.961
2001,Oct.,Lake Victoria,2.926,231.199
2001,Oct.,Simiyu,0.252,9.169
2001,Oct.,Victoria Nile,,22.057
2001,Sept.,Kagera,0.72,21.478
2001,Sept.,Lake Victoria,3.471,194.072
2001,Sept.,Simiyu,0.254,10.372
2001,Sept.,Victoria Nile,,169.513
2002,April,Kagera,6.455,569.888
2002,April,Lake Victoria,12.94,2595.307
2002,April,Simiyu,2.655,11.538
2002,April,Victoria Nile,,7.752
2002,Aug.,Kagera,1.06,42.771
2002,Aug.,Lake Victoria,4.697,630.093
2002,Aug.,Simiyu,0.053,54.17
2002,Aug.,Victoria Nile,,11.641
2002,Dec.,Kagera,0.375,32.173
2002,Dec.,Lake Victoria,0.656,149.666
2002,Dec.,Simiyu,0.61,28.231
2002,Dec.,Victoria Nile,,5.452
2002,Feb.,Kagera,0.13,6.765
2002,Feb.,Lake Victoria,0.155,104.908
2002,Feb.,Simiyu,0.299,14.773
2002,Feb.,Victoria Nile,,5.721
2002,Jan.,Kagera,1.805,65.728
2002,Jan.,Lake Victoria,3.202,186.679
2002,Jan.,Simiyu,4.705,139.654
2002,Jan.,Victoria Nile,,7.324
2002,July,Kagera,0.045,54.802
2002,July,Lake Victoria,0.412,343.329
2002,July,Simiyu,0.395,69.408
2002,July,Victoria Nile,,1.793
2002,June,Kagera,0.02,69.675
2002,June,Lake Victoria,1.082,433.905
2002,June,Simiyu,0.265,88.245
2002,June,Victoria Nile,,2.203
2002,March,Kagera,3.157,49.5
2002,March,Lake Victoria,5.257,152.357
2002,March,Simiyu,4.341,252.567
2002,March,Victoria Nile,,4.712
2002,May,Kagera,1.155,856.549
2002,May,Lake Victoria,6.173,2399.329
2002,May,Simiyu,7.199,1411.182
