year,month,region,rainfall,runoff
2026,April,Kagera,5.478,1381.322
2026,April,Lake Victoria,11.46,708.806
2026,April,Simiyu,4.534,708.806
2026,April,Victoria Nile,,3611.252
2026,Aug.,Kagera,0.298,85.005
2026,Aug.,Lake Victoria,2.471,11.044
2026,Aug.,Simiyu,0.071,11.044
2026,Aug.,Victoria Nile,,801.495
2026,Dec.,Kagera,1.799,201.333
2026,Dec.,Lake Victoria,4.863,12.654
2026,Dec.,Simiyu,6.688,12.654
2026,Dec.,Victoria Nile,,554.523
2026,Feb.,Kagera,0.159,10.69
2026,Feb.,Lake Victoria,0.304,6.48
2026,Feb.,Simiyu,0.126,6.48
2026,Feb.,Victoria Nile,,501.831
2026,Jan.,Kagera,10.385,1504.135
2026,Jan.,Lake Victoria,18.836,1439.778
2026,Jan.,Simiyu,10.689,1439.778
2026,Jan.,Victoria Nile,,5564.265
2026,July,Kagera,0.297,108.893
2026,July,Lake Victoria,3.105,14.153
2026,July,Simiyu,0.196,14.153
2026,July,Victoria Nile,,676.113
2026,June,Kagera,0.281,138.483
2026,June,Lake Victoria,1.104,18.324
2026,June,Simiyu,0.422,18.324
2026,June,Victoria Nile,,740.173
2026,March,Kagera,5.936,1478.048
2026,March,Lake Victoria,15.677,259.237
2026,March,Simiyu,1.088,259.237
2026,March,Victoria Nile,,4723.488
2026,May,Kagera,8.604,3259.169
2026,May,Lake Victoria,10.14,19.102
2026,May,Simiyu,1.884,19.102
2026,May,Victoria Nile,,3417.707
2026,Nov.,Kagera,1.999,68.105
2026,Nov.,Lake Victoria,4.653,5.323
2026,Nov.,Simiyu,1.568,5.323
2026,Nov.,Victoria Nile,,529.917
2026,Oct.,Kagera,0.327,52.848
2026,Oct.,Lake Victoria,2.541,6.854
2026,Oct.,Simiyu,0.239,6.854
2026,Oct.,Victoria Nile,,440.296
2026,Sept.,Kagera,0.407,71.195
2026,Sept.,Lake Victoria,3.351,8.647
2026,Sept.,Simiyu,1.259,8.647
2026,Sept.,Victoria Nile,,568.611
2027,April,Kagera,5.534,1189.443
2027,April,Lake Victoria,7.179,272.714
2027,April,Simiyu,3.648,272.714
2027,April,Victoria Nile,,2337.6
2027,Aug.,Kagera,0.312,40.288
2027,Aug.,Lake Victoria,3.939,1.001
2027,Aug.,Simiyu,0.283,1.001
2027,Aug.,Victoria Nile,,920.991
2027,Dec.,Kagera,1.721,843.331
2027,Dec.,Lake Victoria,4.649,1231.059
2027,Dec.,Simiyu,7.835,1231.059
2027,Dec.,Victoria Nile,,2445.612
2027,Feb.,Kagera,6.386,75.715
2027,Feb.,Lake Victoria,14.479,22.778
2027,Feb.,Simiyu,7.714,22.778
2027,Feb.,Victoria Nile,,478.223
2027,Jan.,Kagera,1.999,90.297
2027,Jan.,Lake Victoria,2.557,20.4
2027,Jan.,Simiyu,0.298,20.4
2027,Jan.,Victoria Nile,,518.681
2027,July,Kagera,0.272,72.309
2027,July,Lake Victoria,5.148,7.552
2027,July,Simiyu,0.132,7.552
2027,July,Victoria Nile,,1130.019
2027,June,Kagera,0.116,9.375
2027,June,Lake Victoria,2.32,1.39
2027,June,Simiyu,0.409,1.39
2027,June,Victoria Nile,,590.032
2027,March,Kagera,0.599,19.345
2027,March,Lake Victoria,0.376,3.275
2027,March,Simiyu,0.22,3.275
2027,March,Victoria Nile,,251.309
2027,May,Kagera,3.475,359.141
2027,May,Lake Victoria,9.737,66.019
2027,May,Simiyu,7.948,66.019
2027,May,Victoria Nile,,2838.271
2027,Nov.,Kagera,0.865,120.779
2027,Nov.,Lake Victoria,3.448,3.925
2027,Nov.,Simiyu,0.404,3.925
2027,Nov.,Victoria Nile,,1012.194
2027,Oct.,Kagera,4.566,272.556
2027,Oct.,Lake Victoria,7.58,222.214
2027,Oct.,Simiyu,14.394,222.214
2027,Oct.,Victoria Nile,,2238.748
2027,Sept.,Kagera,4.874,49.808
2027,Sept.,Lake Victoria,7.316,0.474
2027,Sept.,Simiyu,0.151,0.474
2027,Sept.,Victoria Nile,,2286.356
2028,April,Kagera,3.172,504.466
2028,April,Lake Victoria,9.297,40.763
2028,April,Simiyu,3.334,40.763
2028,April,Victoria Nile,,1459.633
2028,Aug.,Kagera,0.214,15.392
2028,Aug.,Lake Victoria,7.773,38.021
2028,Aug.,Simiyu,1.445,38.021
