region,data_type,year,month,value
Kagera,rainfall,2000,Jan.,
Kagera,rainfall,2001,Jan.,6.532
Kagera,rainfall,2002,Jan.,1.805
Kagera,rainfall,2003,Jan.,7.727
Kagera,rainfall,2004,Jan.,1.912
Kagera,rainfall,2005,Jan.,0.642
Kagera,rainfall,2006,Jan.,3.01
Kagera,rainfall,2007,Jan.,0.452
Kagera,rainfall,2008,Jan.,0.636
Kagera,rainfall,2009,Jan.,1.256
Kagera,rainfall,2010,Jan.,9.289
Kagera,rainfall,2011,Jan.,1.788
Kagera,rainfall,2012,Jan.,0.458
Kagera,rainfall,2013,Jan.,2.435
Kagera,rainfall,2014,Jan.,1.243
Kagera,rainfall,2015,Jan.,0.84
Kagera,rainfall,2016,Jan.,0.09
Kagera,rainfall,2017,Jan.,2.828
Kagera,rainfall,2018,Jan.,1.229
Kagera,rainfall,2019,Jan.,0.852
Kagera,rainfall,2020,Jan.,2.138
Kagera,rainfall,2021,Jan.,0.717
Kagera,rainfall,2022,Jan.,3.365
Kagera,rainfall,2023,Jan.,0.505
Kagera,rainfall,2024,Jan.,0.711
Kagera,rainfall,2025,Jan.,1.404
Kagera,rainfall,2026,Jan.,10.385
Kagera,rainfall,2027,Jan.,1.999
Kagera,rainfall,2028,Jan.,0.512
Kagera,rainfall,2029,Jan.,2.722
Kagera,rainfall,2030,Jan.,1.389
Kagera,rainfall,2031,Jan.,0.94
Kagera,rainfall,2032,Jan.,0.101
Kagera,rainfall,2033,Jan.,3.161
Kagera,rainfall,2034,Jan.,1.374
Kagera,rainfall,2035,Jan.,0.953
Kagera,rainfall,2000,Feb.,
Kagera,rainfall,2001,Feb.,0.252
Kagera,rainfall,2002,Feb.,0.13
Kagera,rainfall,2003,Feb.,0.207
Kagera,rainfall,2004,Feb.,7.162
Kagera,rainfall,2005,Feb.,5.139
Kagera,rainfall,2006,Feb.,1.432
Kagera,rainfall,2007,Feb.,4.596
Kagera,rainfall,2008,Feb.,0.113
Kagera,rainfall,2009,Feb.,2.88
Kagera,rainfall,2010,Feb.,0.148
Kagera,rainfall,2011,Feb.,5.952
Kagera,rainfall,2012,Feb.,0.174
Kagera,rainfall,2013,Feb.,3.807
Kagera,rainfall,2014,Feb.,3.372
Kagera,rainfall,2015,Feb.,0.425
Kagera,rainfall,2016,Feb.,0.7
Kagera,rainfall,2017,Feb.,1.482
Kagera,rainfall,2018,Feb.,0.046
