city,date,rainfall_mm,rainfall_monthly_anomaly,rainfall_3month_avg,rainfall_6month_avg
Kabale,1981-01,72.68498,4.87883,,
Kabale,1981-02,55.15325,-25.72136,,
Kabale,1981-03,220.6107,91.81912,116.14964548746745,
Kabale,1981-04,171.96494,28.668732,149.2429631551107,
Kabale,1981-05,128.3138,20.31755,173.62981160481772,
Kabale,1981-06,26.464674,-3.031454,108.91446876525879,112.53205712636311
Kabale,1981-07,4.0816336,-11.885459,52.953368186950684,101.09816567103069
Kabale,1981-08,78.55061,31.153824,36.36564032236735,104.99772596359253
Kabale,1981-09,87.35704,-13.456917,56.663095792134605,82.7887822786967
Kabale,1981-10,120.89037,-4.045471,95.5993423461914,74.27635526657104
Kabale,1981-11,71.582756,-51.99547,93.27672322591145,64.8211817741394
Kabale,1981-12,83.85451,-5.461426,92.10921223958333,74.38615401585896
Kabale,1982-01,48.89745,-18.908703,68.11157099405925,81.85545667012532
Kabale,1982-02,55.163193,-25.711418,62.63838322957357,77.95755322774251
Kabale,1982-03,108.570786,-20.220795,70.87714258829753,81.49317741394043
Kabale,1982-04,182.90085,39.604645,115.54494222005208,91.82825660705566
Kabale,1982-05,131.46486,23.468613,140.97883097330728,101.80860710144043
Kabale,1982-06,57.225204,27.729076,123.86363728841145,97.37038993835449
Kabale,1982-07,2.4526713,-13.514421,63.71424492200216,89.62959357102712
Kabale,1982-08,0.0,-47.39679,19.892625252405804,80.43572811285655
Kabale,1982-09,130.27486,29.4609,44.242509285608925,84.05307328701019
Kabale,1982-10,127.14095,2.2051086,85.80526987711589,74.75975739955902
Kabale,1982-11,145.8264,22.248177,134.41407012939453,77.15334769090016
Kabale,1982-12,84.57436,-4.7415695,119.18057250976562,81.71154089768727
Kabale,1983-01,18.184956,-49.621197,82.86190668741862,84.33358828226726
Kabale,1983-02,54.88404,-25.99057,52.547786712646484,93.48092842102051
Kabale,1983-03,113.88745,-14.904129,62.31881586710612,90.74969418843587
Kabale,1983-04,158.34573,15.04953,109.03907521565755,95.95049095153809
Kabale,1983-05,63.526108,-44.47014,111.91976420084636,82.23377545674641
Kabale,1983-06,5.0080175,-24.48811,75.62661965688069,68.97271776199341
Kabale,1983-07,15.096383,-0.8707094,27.87683614095052,68.45795567830403
Kabale,1983-08,74.97608,27.579292,31.69349416097005,71.8066291809082
Kabale,1983-09,133.98082,33.166862,74.68442821502686,75.15552393595378
Kabale,1983-10,146.45926,21.523415,118.47205352783203,73.17444483439128
Kabale,1983-11,99.91798,-23.660248,126.78601837158203,79.23975626627605
Kabale,1983-12,88.65149,-0.66444397,111.67624155680339,93.18033488591512
Kabale,1984-01,56.704155,-11.101997,81.75787353515625,100.11496353149414
Kabale,1984-02,77.35082,-3.5237885,74.23548889160156,100.5107536315918
Kabale,1984-03,153.50687,24.715286,95.85394795735677,103.76509475708008
Kabale,1984-04,190.06435,46.768143,140.30734507242838,111.03260930379231
Kabale,1984-05,64.29604,-43.700203,135.95575205485025,105.0956204732259
Kabale,1984-06,3.8647575,-25.63137,86.07504908243816,90.96449851989746
Kabale,1984-07,57.122757,41.155663,41.76118596394857,91.03426551818848
Kabale,1984-08,63.46499,16.0682,41.4841677347819,88.71995989481609
Kabale,1984-09,69.06202,-31.751938,63.21658833821615,74.64581871032715
Kabale,1984-10,121.51766,-3.4181824,84.68155670166016,63.22137133280436
Kabale,1984-11,113.64488,-9.933342,101.40818786621094,71.44617780049641
Kabale,1984-12,70.566376,-18.749557,101.90963999430339,82.56311416625977
Kabale,1985-01,31.607018,-36.199135,71.93942515055339,78.31049092610677
Kabale,1985-02,88.30553,7.430916,63.49297332763672,82.45058059692383
Kabale,1985-03,119.48684,-9.304741,79.79979451497395,90.85471725463867
Kabale,1985-04,212.4674,69.1712,140.0865910847982,106.01300811767578
Kabale,1985-05,79.64066,-28.355583,137.19830322265625,100.34563827514648
Kabale,1985-06,31.413572,1.9174442,107.84054756164551,93.82017103830974
Kabale,1985-07,9.713839,-6.253254,40.25602467854818,90.17130788167317
Kabale,1985-08,0.10123083,-47.29556,13.742880572875341,75.4705918977658
Kabale,1985-09,118.964806,18.150848,42.926625003417335,75.38358628253143
Kabale,1985-10,194.64604,69.7102,104.57069276769955,72.41335872312386
Kabale,1985-11,135.54594,11.96772,149.71893056233725,81.73090556760629
Kabale,1985-12,68.77612,-20.53981,132.98936971028647,87.95799735685189
Kabale,1986-01,79.19809,11.391937,94.50671895345052,99.53870586057504
Kabale,1986-02,121.99498,41.12037,89.98973083496094,119.8543306986491
Kabale,1986-03,114.683876,-14.107704,105.29231516520183,119.14084243774414
Kabale,1986-04,197.44417,54.147964,144.70767466227213,119.60719680786133
Kabale,1986-05,91.45615,-16.5401,134.52806345621744,112.25889714558919
Kabale,1986-06,17.486483,-12.009645,102.12893231709798,103.7106237411499
Kabale,1986-07,9.0515175,-6.915575,39.33138211568197,92.01952838897705
Kabale,1986-08,11.104812,-36.291977,12.547603925069174,73.53783369064331
Kabale,1986-09,115.02609,14.212135,45.06080722808838,73.59486977259319
Kabale,1986-10,119.90068,-5.035164,82.01052824656169,60.670955181121826
Kabale,1986-11,113.58922,-9.989006,116.1719970703125,64.35980049769084
Kabale,1986-12,82.028885,-7.2870483,105.17292785644531,75.11686754226685
Kabale,1987-01,105.11842,37.31227,100.24550882975261,91.12801853815715
Kabale,1987-02,112.19544,31.320831,99.78091684977214,107.97645696004231
Kabale,1987-03,109.365265,-19.426315,108.8930435180664,107.03298568725586
Kabale,1987-04,101.84582,-41.450386,107.8021748860677,104.02384185791016
Kabale,1987-05,203.35884,95.362595,138.18997446695963,118.98544565836589
Kabale,1987-06,25.051811,-4.444317,110.08548990885417,109.48926671346028
Kabale,1987-07,12.136999,-3.8300934,80.18255043029785,93.99236265818278
Kabale,1987-08,44.934994,-2.4617958,27.374601364135742,82.78228791554768
Kabale,1987-09,111.56995,10.755989,56.213979721069336,83.14973481496175
Kabale,1987-10,125.9607,1.0248566,94.1552136739095,87.16888205210368
Kabale,1987-11,151.82797,28.249748,129.7862065633138,78.58040396372478
Kabale,1987-12,2.2154245,-87.10051,93.33469931284587,74.7743395169576
Kabale,1988-01,79.33932,11.533165,77.79423809051514,85.97472588221233
Kabale,1988-02,77.850716,-3.0238953,53.13515249888102,91.46067953109741
Kabale,1988-03,163.17838,34.386795,106.78946940104167,100.06208435694377
Kabale,1988-04,167.25322,23.957016,136.09410349527994,106.94417079289754
Kabale,1988-05,58.696632,-49.299614,129.70940907796225,91.42228078842163
Kabale,1988-06,1.1972373,-28.298891,75.71569641431172,91.2525829076767
Kabale,1988-07,63.708206,47.74111,41.20069193840027,88.6473977168401
Kabale,1988-08,117.9348,70.53801,60.94674754142761,95.32807830969493
Kabale,1988-09,154.78044,53.966484,112.14114888509114,93.92842264970143
Kabale,1988-10,113.67322,-11.262627,128.79615275065103,84.99842234452565
Kabale,1988-11,97.73953,-25.838692,122.06439717610677,91.5055723587672
Kabale,1988-12,76.26741,-13.048523,95.89338684082031,104.01726786295573
Kabale,1989-01,56.951622,-10.85453,76.98618825276692,102.89117050170898
Kabale,1989-02,68.88322,-11.991394,67.36741638183594,94.71590677897136
Kabale,1989-03,126.75099,-2.0405884,84.19527689615886,90.04433186848958
Kabale,1989-04,127.086494,-16.20971,107.57356770833333,92.27987798055013
Kabale,1989-05,99.19693,-8.799316,117.67813873291016,92.52277755737305
Kabale,1989-06,59.571136,30.075008,95.28485361735027,89.74006525675456
Kabale,1989-07,16.801813,0.8347206,58.52329317728678,83.04843044281006
Kabale,1989-08,53.970528,6.573738,43.44782574971517,80.56298224131267
Kabale,1989-09,76.308945,-24.505013,49.02709515889486,72.15597438812256
Kabale,1989-10,158.98152,34.045677,96.42033131917317,77.47181224822998
Kabale,1989-11,100.57021,-23.00801,111.95355987548828,77.70069281260173
Kabale,1989-12,126.31056,36.99463,128.62076568603516,88.82393042246501
Kabale,1990-01,41.893047,-25.913105,89.59127426147461,93.0058027903239
Kabale,1990-02,158.58102,77.70641,108.9282112121582,110.44088554382324
Kabale,1990-03,86.56735,-42.224228,95.68047459920247,112.15062014261882
Kabale,1990-04,223.0726,79.7764,156.07365926106772,122.83246676127116
Kabale,1990-05,99.414764,-8.581482,136.35157267252603,122.63989194234212
Kabale,1990-06,1.5474331,-27.948694,108.0115996201833,101.84603710969289
Kabale,1990-07,8.991447,-6.975645,36.65121499697367,96.36243712902069
Kabale,1990-08,37.019695,-10.377094,15.852858622868856,76.10221564769745
Kabale,1990-09,116.01628,15.202324,54.009141286214195,81.01037045319875
Kabale,1990-10,87.89053,-37.04531,80.30883661905925,58.48002580801646
Kabale,1990-11,143.16713,19.588905,115.69131469726562,65.77208666006725
Kabale,1990-12,67.53059,-21.785347,99.52941640218098,76.76927884419759
Kabale,1991-01,36.451405,-31.354748,82.38304011027019,81.34593836466472
Kabale,1991-02,65.337036,-15.537575,56.439675649007164,86.0654951731364
Kabale,1991-03,147.49301,18.701431,83.09381739298503,91.31161689758301
Kabale,1991-04,149.68335,6.387146,120.83779907226562,101.6104195912679
Kabale,1991-05,142.65219,34.655945,146.6095174153646,101.52459653218587
Kabale,1991-06,64.137,34.640873,118.82418060302734,100.95899899800618
Kabale,1991-07,30.27891,14.311817,79.02270062764485,99.93024984995525
Kabale,1991-08,10.086081,-37.310707,34.833997090657554,90.72175725301106
Kabale,1991-09,109.900345,9.086388,50.08844502766927,84.45631281534831
Kabale,1991-10,140.6276,15.69175,86.87133979797363,82.94702021280925
