date,city,monsoon_intensity,climate_change,siltation,landslide_risks
2025-07-01,Kabale,0,6,1,6
2025-07-01,Kampala,1,2,0,0
2025-07-01,Kasese,0,11,0,6
2025-08-01,Kabale,0,5,1,7
2025-08-01,Kampala,1,1,0,0
2025-08-01,Kasese,0,10,1,6
2025-09-01,Kabale,0,6,1,9
2025-09-01,Kampala,0,0,0,0
2025-09-01,Kasese,0,10,1,7
2025-10-01,Kabale,0,5,1,9
2025-10-01,Kampala,0,1,0,0
2025-10-01,Kasese,0,11,1,7
2025-11-01,Kabale,3,8,3,9
2025-11-01,Kampala,5,1,0,0
2025-11-01,Kasese,0,8,2,8
2025-12-01,Kabale,3,10,4,7
2025-12-01,Kampala,4,2,0,0
2025-12-01,Kasese,0,7,2,8
2026-01-01,Kabale,0,10,2,6
2026-01-01,Kampala,2,3,0,0
2026-01-01,Kasese,0,9,1,7
2026-02-01,Kabale,0,6,1,6
2026-02-01,Kampala,0,3,0,0
2026-02-01,Kasese,0,13,0,6
2026-03-01,Kabale,0,5,1,7
2026-03-01,Kampala,4,0,0,0
2026-03-01,Kasese,0,12,1,7
2026-04-01,Kabale,3,7,2,8
2026-04-01,Kampala,6,0,0,0
2026-04-01,Kasese,0,10,2,9
2026-05-01,Kabale,3,6,3,7
2026-05-01,Kampala,6,1,0,0
2026-05-01,Kasese,2,10,4,9
2026-06-01,Kabale,0,6,1,6
2026-06-01,Kampala,4,1,0,0
2026-06-01,Kasese,0,10,2,7
2026-07-01,Kabale,1,5,1,6
2026-07-01,Kampala,1,2,0,0
2026-07-01,Kasese,0,11,0,6
2026-08-01,Kabale,1,5,1,7
2026-08-01,Kampala,0,1,0,0
2026-08-01,Kasese,0,10,1,6
2026-09-01,Kabale,0,5,1,9
2026-09-01,Kampala,1,0,0,0
2026-09-01,Kasese,0,10,1,7
2026-10-01,Kabale,0,5,1,9
2026-10-01,Kampala,0,0,0,0
2026-10-01,Kasese,0,11,1,8
2026-11-01,Kabale,4,8,4,9
2026-11-01,Kampala,6,1,0,0
2026-11-01,Kasese,0,8,2,8
2026-12-01,Kabale,3,10,5,7
2026-12-01,Kampala,4,2,0,0
2026-12-01,Kasese,0,7,2,8
2027-01-01,Kabale,0,10,2,6
2027-01-01,Kampala,2,3,0,0
2027-01-01,Kasese,0,9,1,7
2027-02-01,Kabale,0,6,1,6
2027-02-01,Kampala,0,3,0,0
2027-02-01,Kasese,0,13,0,6
2027-03-01,Kabale,1,5,1,7
2027-03-01,Kampala,4,0,0,0
2027-03-01,Kasese,0,12,1,7
2027-04-01,Kabale,4,7,2,8
2027-04-01,Kampala,5,0,0,0
2027-04-01,Kasese,0,10,2,9
2027-05-01,Kabale,3,6,2,8
2027-05-01,Kampala,6,1,0,0
2027-05-01,Kasese,2,10,3,9
2027-06-01,Kabale,1,6,1,6
2027-06-01,Kampala,4,1,0,0
2027-06-01,Kasese,0,10,1,7
2027-07-01,Kabale,1,5,1,6
2027-07-01,Kampala,1,2,0,0
2027-07-01,Kasese,0,11,0,6
2027-08-01,Kabale,1,5,1,7
2027-08-01,Kampala,1,1,0,0
2027-08-01,Kasese,0,10,1,6
2027-09-01,Kabale,0,5,1,9
2027-09-01,Kampala,1,0,0,0
2027-09-01,Kasese,0,10,1,7
2027-10-01,Kabale,0,5,1,9
2027-10-01,Kampala,0,0,0,0
2027-10-01,Kasese,0,11,1,8
2027-11-01,Kabale,4,8,4,9
2027-11-01,Kampala,6,1,0,0
2027-11-01,Kasese,0,8,2,9
2027-12-01,Kabale,4,10,4,8
2027-12-01,Kampala,4,2,0,0
2027-12-01,Kasese,0,8,2,8
2028-01-01,Kabale,1,10,2,6
2028-01-01,Kampala,2,3,0,0
2028-01-01,Kasese,0,9,1,7
2028-02-01,Kabale,0,6,1,6
2028-02-01,Kampala,1,3,0,0
